,nombre,seguidores,foto,popularidad,generos
0,Drugdealer,117712,https://i.scdn.co/image/ab6761610000e5ebaefc7fc53b2e218c17c5ac31,53,indie garage rock
0,Drugdealer,117712,https://i.scdn.co/image/ab6761610000e5ebaefc7fc53b2e218c17c5ac31,53,neo-psychedelic
0,Drugdealer,117712,https://i.scdn.co/image/ab6761610000e5ebaefc7fc53b2e218c17c5ac31,53,psychedelic pop
1,Weyes Blood,326602,https://i.scdn.co/image/ab6761610000e5eb92b2757e7003d4f77e5a5d05,63,art pop
1,Weyes Blood,326602,https://i.scdn.co/image/ab6761610000e5eb92b2757e7003d4f77e5a5d05,63,experimental folk
2,Los Retros,235795,https://i.scdn.co/image/ab6761610000e5ebeee6f231bde846066beda6bd,60,latinx alternative
3,Foxygen,242376,https://i.scdn.co/image/ab6761610000e5ebb97b6eeada9335c77f7be193,47,baroque pop
3,Foxygen,242376,https://i.scdn.co/image/ab6761610000e5ebb97b6eeada9335c77f7be193,47,experimental pop
3,Foxygen,242376,https://i.scdn.co/image/ab6761610000e5ebb97b6eeada9335c77f7be193,47,indie garage rock
3,Foxygen,242376,https://i.scdn.co/image/ab6761610000e5ebb97b6eeada9335c77f7be193,47,indie rock
3,Foxygen,242376,https://i.scdn.co/image/ab6761610000e5ebb97b6eeada9335c77f7be193,47,neo-psychedelic
4,The Lemon Twigs,117469,https://i.scdn.co/image/ab6761610000e5ebfb89310c2a402a01ace17bde,44,baroque pop
4,The Lemon Twigs,117469,https://i.scdn.co/image/ab6761610000e5ebfb89310c2a402a01ace17bde,44,psychedelic pop
5,Mild High Club,475512,https://i.scdn.co/image/ab6761610000e5eb57e304470606c0f284d6c748,64,indie garage rock
5,Mild High Club,475512,https://i.scdn.co/image/ab6761610000e5eb57e304470606c0f284d6c748,64,neo-psychedelic
6,FUR,143345,https://i.scdn.co/image/ab6761610000e5eb324659020089eedb798f14af,55,brighton indie
7,Her's,691998,https://i.scdn.co/image/ab6761610000e5eb6e339cf31f00e472b1ddd1c5,66,indie garage rock
7,Her's,691998,https://i.scdn.co/image/ab6761610000e5eb6e339cf31f00e472b1ddd1c5,66,indie pop
7,Her's,691998,https://i.scdn.co/image/ab6761610000e5eb6e339cf31f00e472b1ddd1c5,66,liverpool indie
8,The Symposium,72605,https://i.scdn.co/image/ab6761610000e5eb3257f733c7c42f576c616fa4,50,chicago indie
8,The Symposium,72605,https://i.scdn.co/image/ab6761610000e5eb3257f733c7c42f576c616fa4,50,indie garage rock
9,The Buttertones,117811,https://i.scdn.co/image/ab6761610000e5eb67328c038e9054912b19f19c,50,indie garage rock
9,The Buttertones,117811,https://i.scdn.co/image/ab6761610000e5eb67328c038e9054912b19f19c,50,indie surf
10,Manel,140222,https://i.scdn.co/image/ab6761610000e5ebf03cdcbdda43b390cf876a6a,49,cantautor
10,Manel,140222,https://i.scdn.co/image/ab6761610000e5ebf03cdcbdda43b390cf876a6a,49,indie catala
10,Manel,140222,https://i.scdn.co/image/ab6761610000e5ebf03cdcbdda43b390cf876a6a,49,musica catalana
10,Manel,140222,https://i.scdn.co/image/ab6761610000e5ebf03cdcbdda43b390cf876a6a,49,rock catala
10,Manel,140222,https://i.scdn.co/image/ab6761610000e5ebf03cdcbdda43b390cf876a6a,49,spanish folk
11,Travis Bretzer,24480,https://i.scdn.co/image/148e84076f7a890594a96f6d1c3ced7c6529eb6e,47,edmonton indie
11,Travis Bretzer,24480,https://i.scdn.co/image/148e84076f7a890594a96f6d1c3ced7c6529eb6e,47,indie garage rock
12,Fake Laugh,16856,https://i.scdn.co/image/ab6761610000e5eb6b8edecfb3e1e38bbd90605c,29,
13,Jakob,246513,https://i.scdn.co/image/ab6761610000e5eb42bcb1cfe0ba7288887124e7,59,indie garage rock
13,Jakob,246513,https://i.scdn.co/image/ab6761610000e5eb42bcb1cfe0ba7288887124e7,59,indie pop
14,Clairo,3711920,https://i.scdn.co/image/ab6761610000e5eb370f4e30deba6da178db36fe,77,bedroom pop
14,Clairo,3711920,https://i.scdn.co/image/ab6761610000e5eb370f4e30deba6da178db36fe,77,indie pop
14,Clairo,3711920,https://i.scdn.co/image/ab6761610000e5eb370f4e30deba6da178db36fe,77,pop
15,Paul McCartney,4273898,https://i.scdn.co/image/ab6761610000e5eb03bf2fe26e397122faa3d323,74,album rock
15,Paul McCartney,4273898,https://i.scdn.co/image/ab6761610000e5eb03bf2fe26e397122faa3d323,74,art rock
